ID,AreaPath,IterationPath,Priority
2715757,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
2715758,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
2715771,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
2715781,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075521,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075523,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075524,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075525,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075529,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075531,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075533,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075534,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075535,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075536,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075542,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075546,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075548,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075554,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075555,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075556,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075558,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075559,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075560,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075565,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3075566,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075567,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075570,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075571,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075572,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075581,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075585,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075586,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3075592,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075593,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075599,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075602,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075603,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075604,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075605,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075607,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075609,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075610,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075611,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075612,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075614,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075615,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075616,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075617,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075618,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075620,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3075621,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075622,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3075624,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3077019,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077021,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077022,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3077024,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077025,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077026,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3077027,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077028,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077029,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3077030,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3077032,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077033,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077437,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077443,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3077452,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3077458,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3088463,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3088618,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3089377,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3136845,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3143533,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3149770,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3285381,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3285575,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3285622,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3382577,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3508897,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3508898,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3508899,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508902,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508906,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3508907,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3508908,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508909,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508910,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508911,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508912,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508913,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508914,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508915,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508916,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508917,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508918,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508919,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508920,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508921,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508922,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3508923,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508924,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508925,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508926,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508927,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508928,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508929,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508930,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508931,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508934,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508935,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508947,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3508948,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510251,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510253,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510254,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510255,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510256,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510257,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510259,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510260,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510262,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3510263,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510264,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510265,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510267,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510268,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510271,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510272,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510273,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510274,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510275,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510278,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510279,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3510281,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510282,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3510286,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3538216,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3538247,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3538277,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3538305,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3540633,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3541565,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3541594,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3541643,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3541966,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3543170,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3543194,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3543199,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3543247,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3543276,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3543961,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544012,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544064,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544109,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544146,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544148,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3545312,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3545441,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3576411,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3576418,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673299,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673300,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673301,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673304,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673305,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673306,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673308,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673309,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673311,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673312,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673313,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673315,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673318,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673319,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673320,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673321,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673322,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673325,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673326,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673328,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673329,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673331,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673332,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673333,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673334,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673335,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3752444,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3950272,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3950286,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954373,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954374,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954375,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954376,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954377,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954378,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954379,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954380,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954407,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954408,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954410,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954412,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954413,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954414,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954415,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954416,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3954425,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954432,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954443,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954451,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954455,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954456,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954465,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954472,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954491,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954508,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954516,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954544,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954616,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954619,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954623,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954634,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954650,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954657,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954676,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954696,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954704,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954706,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954838,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954842,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3964733,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3964745,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971039,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971043,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971083,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971089,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971092,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971101,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971112,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971116,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971125,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971128,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971130,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971131,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971134,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971136,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971167,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971181,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971195,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971201,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971206,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
...